user_email,dark_theme,is_ai
Elena.Petrova@email.com,true,false
Ivan.Smirnov@email.com,false,true
Maria.Ivanova@email.com,true,true
Dmitry.Kuznetsov@email.com,false,false
Anna.Popova@email.com,true,false
Sergey.Vasilev@email.com,false,true
Olga.Sokolova@email.com,true,false
Alexey.Mikhailov@email.com,false,false
Natalia.Fedorova@email.com,true,true
Vladimir.Morozov@email.com,false,false
Ekaterina.Novikova@email.com,true,false
Pavel.Kozlov@email.com,false,true
Irina.Lebedeva@email.com,true,false
Roman.Volkov@email.com,false,false
Anastasia.Semenova@email.com,true,true
Maxim.Pavlov@email.com,false,false
Victoria.Zaitseva@email.com,true,false
Nikita.Golubev@email.com,false,true
Julia.Vinogradova@email.com,true,false
Artem.Bogdanov@email.com,false,false
Sofya.Komarova@email.com,true,true
Kirill.Gusev@email.com,false,false
Alexandra.Denisova@email.com,true,false
Andrey.Malyshev@email.com,false,true
Tatiana.Zakharova@email.com,true,false
